,across,within,Subject,R,Sample rate,Samples,Thresholded Electrodes,Sessions,Number thresholded,Total Time (hrs),Average Session Length (hrs),Total Electrodes,Proportion Thresholded
3288,0.5907250480525661,0.5743107164331331,16,[ 38.38  51.53 -22.05],256.0,1010176,118,2.0,7,1.096,0.548,125,0.056
3289,0.6716267434096772,0.06468653598404177,20,[ 64.65 -39.84  -9.45],256.0,921600,69,1.0,29,1.0,1.0,98,0.296
3290,0.4239263542353065,0.08976027152064553,17,[ -1.01 -43.81   9.66],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
3291,0.44420454298136347,0.5212445269768986,6,[ 61.62 -27.8   -1.47],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
3292,0.34757447074836595,0.028663157796915063,51,[23.23 23.99 60.03],1000.0,6000000,137,1.0,23,1.667,1.667,160,0.144
3293,0.6457674170616914,-0.014781951723160703,42,[-30.3 -14.1 -31.8],400.0,1032800,53,1.0,3,0.717,0.717,56,0.054
3294,0.5398037962360352,0.3482229601320457,58,[ 40.4  -47.31 -27.76],1000.0,15728000,64,5.0,36,4.369,0.874,100,0.36
3295,0.5839936194721669,0.4781527242939395,12,[-27.27 -44.94 -10.94],256.0,1371136,78,2.0,6,1.488,0.744,84,0.071
3296,0.5342168762466124,0.034556422324878724,14,[  2.02 -31.92  41.85],256.0,1652585,113,2.0,15,1.793,0.896,128,0.117
3297,0.4585568808571461,0.0488698170972546,14,[  2.02 -42.27  42.39],256.0,1652585,113,2.0,15,1.793,0.896,128,0.117
3298,0.4745759000826576,0.2520301723457828,14,[-42.42  34.44  13.79],256.0,1652585,113,2.0,15,1.793,0.896,128,0.117
3299,0.4674563624615206,-0.0109539027760642,49,[60.61 27.49  7.98],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
3300,0.6521379319952361,0.3472826520365702,63,[ 54.55  13.64 -29.01],400.0,3776377,53,4.0,9,2.622,0.656,62,0.145
3301,0.468448674177661,0.3806536692391325,62,[-55.56  43.96   8.85],400.0,20458800,54,6.0,33,14.208,2.368,87,0.379
3302,0.8437344511539386,0.4657966066282471,40,[-63.64 -58.64  17.58],400.0,11744000,41,3.0,21,8.156,2.719,62,0.339
3303,-0.0341060148838121,-0.27881053336632244,45,[-29.29   4.94 -42.62],400.0,847200,124,1.0,2,0.588,0.588,126,0.016
3304,0.43234933510877466,0.24152394648147585,17,[-20.2   28.88  43.97],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
3305,0.2863788477618697,0.4693631739017566,18,[-24.24  -1.39 -39.41],256.0,1322752,77,2.0,7,1.435,0.718,84,0.083
3306,0.5851945942299995,-0.16343367134228048,50,[ 67.68 -19.35 -29.72],2000.0,12000000,56,1.0,7,1.667,1.667,63,0.111
3307,0.5828366046481305,0.6447164763260791,46,[ 60.61   3.35 -29.6 ],400.0,5446000,55,4.0,25,3.782,0.946,80,0.312
3308,0.3814967979655463,0.7159118139470376,54,[  2.02  67.85 -17.53],1000.0,12880000,86,3.0,20,3.578,1.193,106,0.189
3309,0.4432296351154869,0.35125522992984914,47,[47.47 28.11 38.48],400.0,4115600,107,3.0,15,2.858,0.953,122,0.123
3310,0.6936921527348698,0.7459768105961875,64,[ 63.64 -38.71  32.78],400.0,6599200,38,3.0,10,4.583,1.528,48,0.208
3311,0.6384377976295608,0.34579562952682713,22,[-62.63 -16.47  -0.87],256.0,450047,40,2.0,16,0.488,0.244,56,0.286
3312,0.09662696234119507,0.053499460082050594,57,[ 54.55 -70.58  30.01],1000.0,6361000,78,2.0,18,1.767,0.884,96,0.188
3313,0.516899453490072,0.35948383179156684,6,[ 41.41 -31.92 -25.68],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
3314,0.7372227152092408,0.0211672788519506,42,[-22.22  -5.2  -22.95],400.0,1032800,53,1.0,3,0.717,0.717,56,0.054
3315,0.4392821680417118,-0.09051240100026599,49,[49.49 43.04  6.62],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
3316,0.12656144239934602,0.5855131027547114,59,[ 28.28 -19.41 -28.54],1000.0,14105000,82,4.0,8,3.918,0.98,90,0.089
3317,0.05256798945580815,0.01885914686106545,0,[ 26.26 -16.06 -34.3 ],200.0,672600,54,2.0,10,0.934,0.467,64,0.156
3318,0.6820269024610026,0.5051243344912834,28,[ 32.32  -2.47 -14.45],256.0,1612800,24,3.0,6,1.75,0.583,30,0.2
3319,0.3326959685986457,0.4983866264767149,52,[ 66.67 -33.46 -13.85],1000.0,14400000,82,2.0,16,4.0,2.0,98,0.163
3320,0.6533073067122781,0.5521847790689794,55,[56.57 22.96 16.45],1000.0,14711000,102,4.0,18,4.086,1.022,120,0.15
3321,0.2322121022057169,0.04673620920665049,56,[-34.34  25.43 -39.05],1000.0,9938000,101,5.0,9,2.761,0.552,110,0.082
3322,0.4532985725655448,0.5898698552409041,52,[60.61 -4.94 -5.05],1000.0,14400000,82,2.0,16,4.0,2.0,98,0.163
3323,0.3611184441114999,0.5022563624669077,43,[ 41.41  19.31 -40.6 ],400.0,3322800,99,3.0,13,2.308,0.769,112,0.116
